시간,표면온도(°C),대기온도(°C),수평일사량(Wh/㎡),입사일사량(Wh/㎡),전압(V),전류(A),전력(kW),발전량(kWh)
00:00,19.08,18.40,0.00,0.00,7.37,0.00,0.00,"0.00"
00:15,19.10,18.40,0.00,0.00,6.53,0.00,0.00,"0.00"
00:30,19.10,18.43,0.00,0.00,6.60,0.00,0.00,"0.00"
00:45,19.18,18.50,0.00,0.00,6.73,0.00,0.00,"0.00"
01:00,19.20,18.50,0.00,0.00,6.83,0.00,0.00,"0.00"
01:15,19.20,18.50,0.00,0.00,6.50,0.00,0.00,"0.00"
01:30,19.20,18.50,0.00,0.00,7.03,0.00,0.00,"0.00"
01:45,19.20,18.50,0.00,0.00,7.40,0.00,0.00,"0.00"
02:00,18.71,17.97,0.00,0.00,7.03,0.00,0.00,"0.00"
02:15,18.60,17.90,0.00,0.00,7.13,0.00,0.00,"0.00"
02:30,18.65,17.90,0.00,0.00,6.57,0.00,0.00,"0.00"
02:45,18.60,17.90,0.00,0.00,5.10,0.00,0.00,"0.00"
03:00,18.60,17.90,0.00,0.00,5.00,0.00,0.00,"0.00"
03:15,18.60,17.90,0.00,0.00,5.00,0.00,0.00,"0.00"
03:30,18.35,17.90,0.00,0.00,5.23,0.00,0.00,"0.00"
03:45,18.41,17.90,0.00,0.00,6.00,0.00,0.00,"0.00"
04:00,18.49,17.90,0.00,0.00,6.00,0.00,0.00,"0.00"
04:15,18.33,17.90,0.00,0.00,6.20,0.00,0.00,"0.00"
04:30,18.30,17.90,0.00,0.00,6.90,0.00,0.00,"0.00"
04:45,17.97,17.90,0.00,0.00,6.53,0.00,0.00,"0.00"
05:00,17.75,17.88,0.00,0.00,7.87,0.00,0.00,"0.00"
05:15,17.63,17.71,0.00,0.00,6.53,0.00,0.00,"0.00"
05:30,17.66,17.70,0.00,0.00,7.37,0.00,0.00,"0.00"
05:45,17.60,17.53,0.00,0.00,7.07,0.00,0.00,"0.00"
06:00,17.74,17.70,0.00,0.00,7.77,0.00,0.00,"0.00"
06:15,17.93,17.70,0.00,0.00,9.97,0.00,0.00,"0.00"
06:30,18.19,17.70,0.00,0.00,82.47,0.00,0.00,"0.00"
06:45,18.04,17.70,0.00,0.00,278.23,0.00,0.00,"0.00"
07:00,18.22,17.70,0.00,0.00,350.57,0.00,0.00,"0.00"
07:15,18.03,17.70,0.00,0.00,412.80,0.01,0.01,"0.00"
07:30,18.27,17.70,4.33,3.07,440.57,0.19,0.12,"0.00"
07:45,18.50,17.70,17.27,16.60,521.13,0.79,0.47,"0.00"
08:00,18.91,17.89,40.07,31.20,576.00,1.36,0.86,"0.12"
08:15,19.20,18.21,37.27,32.73,577.87,1.42,0.89,"0.34"
08:30,19.81,18.19,59.60,59.13,591.07,2.39,1.47,"0.66"
08:45,20.12,18.45,89.87,77.73,595.87,3.12,1.92,"1.06"
09:00,21.21,19.01,117.53,101.07,598.93,4.04,2.46,"1.60"
09:15,21.63,19.27,111.67,89.00,595.60,3.63,2.23,"2.08"
09:30,22.34,19.50,123.40,107.33,600.13,4.26,2.61,"2.63"
09:45,23.00,19.96,159.40,143.07,604.53,5.63,3.47,"3.39"
10:00,24.03,20.71,178.67,149.53,605.73,5.78,3.60,"4.19"
10:15,24.12,20.98,189.73,140.33,597.20,5.53,3.37,"4.93"
10:30,24.39,20.94,269.93,167.67,604.93,6.46,3.97,"5.82"
10:45,24.74,20.61,244.20,163.33,599.73,6.39,3.90,"6.68"
11:00,24.93,20.46,259.20,175.40,604.00,6.81,4.18,"7.62"
11:15,25.66,20.93,292.80,194.80,603.60,7.53,4.62,"8.66"
11:30,27.16,22.30,468.47,291.67,603.20,11.26,6.86,"10.23"
11:45,29.35,22.33,352.20,244.60,598.80,9.35,5.67,"11.55"
12:00,30.19,22.35,538.85,396.85,594.23,14.42,8.60,"13.53"
12:15,33.59,23.19,552.20,452.60,602.63,16.37,9.82,"15.86"
12:30,33.69,22.75,428.20,418.53,577.23,15.85,9.14,"17.98"
12:45,35.20,23.76,425.00,445.40,574.20,16.55,9.64,"20.26"
13:00,35.72,22.45,363.07,425.53,591.77,15.09,9.03,"22.39"
13:15,35.53,22.74,366.80,475.40,570.50,17.00,9.78,"24.62"
13:30,39.62,23.46,402.93,573.00,568.40,20.93,11.79,"27.61"
13:45,38.60,22.63,334.07,524.40,564.27,18.97,10.64,"30.12"
14:00,40.79,23.81,325.13,505.33,564.77,17.78,10.23,"32.62"
14:15,41.26,23.57,410.87,698.53,562.47,25.19,14.22,"35.97"
14:30,45.05,24.82,391.73,750.00,553.27,26.39,14.64,"39.44"
14:45,46.75,25.04,370.27,791.47,550.60,27.56,15.25,"43.06"
15:00,47.12,24.87,338.73,787.60,547.27,27.61,15.17,"46.69"
15:15,45.63,24.10,300.20,751.27,560.17,25.08,14.14,"50.13"
15:30,43.60,23.41,260.27,705.33,551.80,23.21,12.87,"53.17"
15:45,40.73,23.15,159.93,409.27,553.37,13.34,7.43,"54.88"
16:00,36.16,21.15,135.93,387.27,582.60,11.08,6.60,"56.40"
16:15,33.91,20.13,122.93,498.20,589.80,11.55,6.96,"57.99"
16:30,36.55,20.53,96.80,579.60,583.67,9.56,5.64,"59.29"
16:45,35.66,20.10,54.20,397.93,586.47,4.18,2.51,"59.85"
