time,surface_temperature,ambient_temperature,global_horizontal_irradiance,plane_of_array_irradiance,voltage,current,output_power,energy_kwh,timestamp,month,day,hour,minute
00:00,-0.1,0.1,0.0,0.0,11.2,0.0,0.0,0.0,2024-01-01 00:00:00,1,1,0,0
00:15,-0.1,0.23,0.0,0.0,10.0,0.0,0.0,0.0,2024-01-01 00:15:00,1,1,0,15
00:30,-0.1,0.53,0.0,0.0,9.97,0.0,0.0,0.0,2024-01-01 00:30:00,1,1,0,30
00:45,-0.1,0.14,0.0,0.0,9.0,0.0,0.0,0.0,2024-01-01 00:45:00,1,1,0,45
01:00,-0.1,0.13,0.0,0.0,8.97,0.0,0.0,0.0,2024-01-01 01:00:00,1,1,1,0
01:15,-0.13,0.31,0.0,0.0,8.0,0.0,0.0,0.0,2024-01-01 01:15:00,1,1,1,15
01:30,-0.25,-0.07,0.0,0.0,8.0,0.0,0.0,0.0,2024-01-01 01:30:00,1,1,1,30
01:45,-0.95,-0.4,0.0,0.0,8.0,0.0,0.0,0.0,2024-01-01 01:45:00,1,1,1,45
02:00,-1.09,-0.4,0.0,0.0,8.0,0.0,0.0,0.0,2024-01-01 02:00:00,1,1,2,0
02:15,-1.2,-0.4,0.0,0.0,8.0,0.0,0.0,0.0,2024-01-01 02:15:00,1,1,2,15
02:30,-1.29,-0.4,0.0,0.0,8.0,0.0,0.0,0.0,2024-01-01 02:30:00,1,1,2,30
02:45,-1.49,-0.4,0.0,0.0,8.0,0.0,0.0,0.0,2024-01-01 02:45:00,1,1,2,45
03:00,-1.37,-0.4,0.0,0.0,8.83,0.0,0.0,0.0,2024-01-01 03:00:00,1,1,3,0
03:15,-1.26,-0.4,0.0,0.0,9.2,0.0,0.0,0.0,2024-01-01 03:15:00,1,1,3,15
03:30,-1.19,-0.4,0.0,0.0,9.8,0.0,0.0,0.0,2024-01-01 03:30:00,1,1,3,30
03:45,-1.1,-0.4,0.0,0.0,10.67,0.0,0.0,0.0,2024-01-01 03:45:00,1,1,3,45
04:00,-0.23,-0.4,0.0,0.0,11.67,0.0,0.0,0.0,2024-01-01 04:00:00,1,1,4,0
04:15,-0.1,-0.26,0.0,0.0,12.0,0.0,0.0,0.0,2024-01-01 04:15:00,1,1,4,15
04:30,0.06,0.01,0.0,0.0,12.0,0.0,0.0,0.0,2024-01-01 04:30:00,1,1,4,30
04:45,0.54,0.39,0.0,0.0,12.13,0.0,0.0,0.0,2024-01-01 04:45:00,1,1,4,45
05:00,0.6,0.55,0.0,0.0,12.37,0.0,0.0,0.0,2024-01-01 05:00:00,1,1,5,0
05:15,0.6,0.2,0.0,0.0,12.0,0.0,0.0,0.0,2024-01-01 05:15:00,1,1,5,15
05:30,0.6,0.19,0.0,0.0,12.0,0.0,0.0,0.0,2024-01-01 05:30:00,1,1,5,30
05:45,0.6,0.1,0.0,0.0,12.43,0.0,0.0,0.0,2024-01-01 05:45:00,1,1,5,45
06:00,0.6,0.25,0.0,0.0,12.13,0.0,0.0,0.0,2024-01-01 06:00:00,1,1,6,0
06:15,0.47,0.33,0.0,0.0,12.0,0.0,0.0,0.0,2024-01-01 06:15:00,1,1,6,15
06:30,0.1,0.15,0.0,0.0,12.0,0.0,0.0,0.0,2024-01-01 06:30:00,1,1,6,30
06:45,0.1,0.1,0.0,0.0,12.1,0.0,0.0,0.0,2024-01-01 06:45:00,1,1,6,45
07:00,-0.06,0.1,0.0,0.0,16.8,0.0,0.0,0.0,2024-01-01 07:00:00,1,1,7,0
07:15,-0.12,-0.17,0.0,0.0,124.07,0.0,0.0,0.0,2024-01-01 07:15:00,1,1,7,15
07:30,-0.89,-0.4,0.0,0.0,314.83,0.0,0.0,0.0,2024-01-01 07:30:00,1,1,7,30
07:45,-1.07,-0.4,0.0,0.0,402.23,0.03,0.03,0.0,2024-01-01 07:45:00,1,1,7,45
08:00,-0.45,-0.4,1.93,2.13,443.53,0.09,0.09,0.0,2024-01-01 08:00:00,1,1,8,0
08:15,-0.11,-0.06,15.33,13.2,524.53,0.57,0.33,0.0,2024-01-01 08:15:00,1,1,8,15
08:30,0.27,0.47,22.4,22.0,601.53,1.03,0.68,0.0,2024-01-01 08:30:00,1,1,8,30
08:45,0.36,0.68,16.2,21.8,603.73,1.05,0.69,0.16,2024-01-01 08:45:00,1,1,8,45
09:00,0.59,1.16,20.4,28.93,608.97,1.25,0.85,0.38,2024-01-01 09:00:00,1,1,9,0
09:15,0.83,2.0,26.8,39.6,619.6,1.63,1.1,0.63,2024-01-01 09:15:00,1,1,9,15
09:30,1.79,2.31,30.53,50.33,626.3,2.08,1.35,0.94,2024-01-01 09:30:00,1,1,9,30
09:45,2.63,3.25,33.2,57.2,624.73,2.3,1.53,1.27,2024-01-01 09:45:00,1,1,9,45
10:00,3.51,3.4,39.47,64.87,627.3,2.69,1.75,1.65,2024-01-01 10:00:00,1,1,10,0
10:15,4.35,4.85,58.0,74.27,628.33,2.91,1.89,2.07,2024-01-01 10:15:00,1,1,10,15
10:30,5.53,7.69,303.53,91.93,630.87,3.15,2.06,2.52,2024-01-01 10:30:00,1,1,10,30
10:45,7.16,9.54,342.67,120.13,637.4,4.33,2.8,3.14,2024-01-01 10:45:00,1,1,10,45
11:00,9.35,10.38,379.27,161.13,636.93,5.93,3.85,4.0,2024-01-01 11:00:00,1,1,11,0
11:15,11.81,11.25,409.47,207.2,630.73,7.53,4.81,5.1,2024-01-01 11:15:00,1,1,11,15
