feature,importance
plane_of_array_irradiance_t-0,0.1873427
global_horizontal_irradiance_t-0,0.15045242
global_horizontal_irradiance_t-1,0.10269628
global_horizontal_irradiance_t-2,0.09064946
global_horizontal_irradiance_t-3,0.054508336
plane_of_array_irradiance_t-1,0.036607828
plane_of_array_irradiance_t-15,0.022858707
plane_of_array_irradiance_t-2,0.022214985
surface_temperature_t-2,0.020771706
surface_temperature_t-14,0.016437229
plane_of_array_irradiance_t-14,0.01619727
surface_temperature_t-3,0.01619607
surface_temperature_t-13,0.016024698
surface_temperature_t-15,0.015026226
surface_temperature_t-1,0.01300542
global_horizontal_irradiance_t-4,0.010401197
plane_of_array_irradiance_t-3,0.010194133
surface_temperature_t-12,0.010188601
global_horizontal_irradiance_t-6,0.008917435
surface_temperature_t-4,0.008611886
plane_of_array_irradiance_t-13,0.0075117727
global_horizontal_irradiance_t-5,0.0067181443
global_horizontal_irradiance_t-8,0.005703679
surface_temperature_t-11,0.0055425568
plane_of_array_irradiance_t-5,0.0054431325
surface_temperature_t-10,0.0053710695
surface_temperature_t-6,0.004864609
global_horizontal_irradiance_t-7,0.0048162173
surface_temperature_t-5,0.004587597
plane_of_array_irradiance_t-4,0.0044628186
surface_temperature_t-0,0.0044239294
surface_temperature_t-9,0.004369731
relative_humidity_t-5,0.004348995
global_horizontal_irradiance_t-10,0.0042381133
plane_of_array_irradiance_t-11,0.0042214254
surface_temperature_t-7,0.0042149494
surface_temperature_t-8,0.004100568
plane_of_array_irradiance_t-12,0.0038329058
relative_humidity_t-7,0.0037301967
relative_humidity_t-10,0.0036976133
global_horizontal_irradiance_t-9,0.0035340474
global_horizontal_irradiance_t-14,0.0034357198
relative_humidity_t-6,0.0034268615
relative_humidity_t-9,0.0033473896
global_horizontal_irradiance_t-15,0.0033337884
relative_humidity_t-3,0.0033043642
plane_of_array_irradiance_t-7,0.0032778294
plane_of_array_irradiance_t-8,0.0032708782
relative_humidity_t-15,0.003260824
global_horizontal_irradiance_t-13,0.0032165153
plane_of_array_irradiance_t-10,0.0031424842
relative_humidity_t-4,0.0030656955
relative_humidity_t-12,0.003059548
relative_humidity_t-14,0.0030387098
plane_of_array_irradiance_t-6,0.0030297197
global_horizontal_irradiance_t-12,0.0030207043
plane_of_array_irradiance_t-9,0.003017244
relative_humidity_t-11,0.0029804807
relative_humidity_t-8,0.0029713742
relative_humidity_t-0,0.0029351774
relative_humidity_t-13,0.0028520997
global_horizontal_irradiance_t-11,0.002743731
relative_humidity_t-1,0.002623837
relative_humidity_t-2,0.002608391
